host_response_time,host_is_superhost,host_identity_verified,property_type,room_type,instant_bookable,host_response_rate,host_acceptance_rate,capacity,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,minimum_nights,maximum_nights,reviews_per_month
within a day,f,f,Entire loft,Entire home/apt,f,1,0.9,3,1434,4.95,4.71,4.95,5,4.95,5,4.86,1,1125,0.19
Desconocido,f,t,Entire guest suite,Entire home/apt,f,0.9,0.9,2,830,4.85,4.9,4.88,4.93,5,4.95,4.84,3,1125,0.54
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,0.9,6,1469,4.57,4.82,4.71,4.92,4.92,4.58,4.71,1,1125,0.31
Desconocido,f,t,Entire villa,Entire home/apt,f,0.9,0.9,2,3658,4.7,4.8,4.7,4.8,4.8,4.8,4.7,1,7,1.1
within an hour,f,t,Entire home,Entire home/apt,f,1,0.86,14,18000,4.58,4.56,4.7,4.87,4.78,4.98,4.48,1,365,0.46
within a few hours,f,t,Entire loft,Entire home/apt,f,1,0.7,2,2561,4.87,4.9,4.71,4.91,4.85,5,4.83,2,30,0.7
within an hour,t,t,Entire condo,Entire home/apt,f,1,0.95,2,650,4.87,4.95,4.88,4.98,4.94,4.75,4.79,3,250,0.58
within an hour,t,t,Private room in home,Private room,f,1,1,2,1089,4.92,4.89,4.9,4.92,4.95,4.94,4.87,2,1125,0.94
within an hour,t,t,Entire condo,Entire home/apt,f,1,1,2,943,4.72,4.75,4.75,4.63,4.75,4.88,4.81,2,60,0.15
within a few hours,t,t,Entire home,Entire home/apt,f,0.92,0.58,16,2561,4.73,4.74,4.69,4.88,4.88,4.34,4.75,1,90,0.95
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,0.98,3,1881,4.93,4.94,4.96,5,4.99,4.95,4.91,3,1125,2.63
within a day,f,t,Entire rental unit,Entire home/apt,f,0.75,0.73,4,2088,4.89,4.8,4.73,4.93,4.91,4.98,4.91,1,30,0.34
within an hour,f,t,Entire loft,Entire home/apt,t,1,1,2,402,4.53,4.74,4.69,4.83,4.79,4.62,4.61,1,1125,1.1
within a day,t,t,Entire rental unit,Entire home/apt,f,1,1,2,1097,4.9,4.9,4.95,4.95,4.98,4.96,4.92,1,180,0.84
within an hour,t,t,Room in serviced apartment,Hotel room,t,0.9,0.87,2,1006,4.83,4.87,4.83,5,5,4.83,4.78,2,730,0.18
within an hour,t,t,Entire serviced apartment,Entire home/apt,f,0.9,0.87,2,998,4.29,4.14,4.29,4.43,4.43,4.43,4.29,2,730,0.06
Desconocido,f,t,Private room in rental unit,Private room,f,0.9,0,2,726,4.75,4.6,4.2,5,4.6,4.8,4.6,1,14,0.04
a few days or more,f,t,Private room in home,Private room,f,0,0.9,1,375,4.4,5,4.6,5,4.8,4.4,4.4,2,1125,0.04
Desconocido,f,t,Private room in rental unit,Private room,f,0.9,0,2,2835,4.7,4.8,4.7,4.8,4.8,4.8,4.7,1,1125,1.1
