host_response_time,host_is_superhost,host_identity_verified,property_type,room_type,instant_bookable,host_response_rate,host_acceptance_rate,capacity,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,minimum_nights,maximum_nights,reviews_per_month
within a day,Desconocido,t,Private room in rental unit,Private room,f,1,0.89,2,663.74,4.51,4.6,4.12,4.64,4.95,4.54,4.53,2,7,0.6
within an hour,t,t,Entire rental unit,Entire home/apt,t,1,0.97,16,2772,4.72,4.83,4.25,4.87,4.89,4.8,4.73,2,1125,1.04
within a few hours,t,t,Entire rental unit,Entire home/apt,f,1,0.72,3,5399.24,4.57,4.59,4.8,4.83,4.78,4.35,4.74,1,1125,1.32
within an hour,f,t,Entire rental unit,Entire home/apt,f,1,0.95,4,2039.73,4.72,4.87,4.76,4.87,4.72,4.96,4.67,3,1125,0.48
within an hour,f,t,Entire rental unit,Entire home/apt,f,1,0.95,4,2222.22,4.57,4.82,4.57,4.86,4.92,5,4.57,3,1125,0.49
within an hour,f,t,Entire rental unit,Entire home/apt,f,1,0.95,4,2695.77,4.54,4.7,4.41,4.75,4.81,4.98,4.5,3,1125,0.76
within an hour,f,t,Entire rental unit,Entire home/apt,f,1,0.95,4,2695.77,4.41,4.59,4.29,4.78,4.78,4.88,4.39,3,1125,0.39
within a few hours,t,t,Entire rental unit,Entire home/apt,f,1,0.72,4,4074.84,4.79,4.76,4.89,4.8,4.88,4.67,4.82,1,1125,1.49
Desconocido,f,f,Entire rental unit,Entire home/apt,f,1,0.9,3,1074.92,5,5,4.5,4,5,5,4.5,2,365,0.01
Desconocido,f,t,Entire rental unit,Entire home/apt,t,1,0.9,3,720.72,4.88,4.94,4.88,4.94,4.93,4.82,4.87,1,1125,4.73
within an hour,t,t,Entire rental unit,Entire home/apt,t,1,1,4,2477.09,4.92,4.79,5,5,4.96,4.96,4.83,1,365,0.17
within an hour,t,t,Entire rental unit,Entire home/apt,t,1,1,3,1912.68,4.71,4.57,4.81,4.78,4.85,4.97,4.67,1,365,0.67
Desconocido,f,t,Entire rental unit,Entire home/apt,f,1,0,3,1155,4.82,5,4.75,5,4.81,4.6,4.93,2,1125,0.15
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,0.93,3,1309,4.96,4.98,4.92,4.94,4.98,4.72,4.92,1,30,1.78
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,0.99,4,2159.85,4.94,4.95,4.94,4.94,4.95,4.94,4.88,3,700,3.18
within an hour,f,t,Entire serviced apartment,Entire home/apt,t,0.99,0.98,4,1589.28,4.25,4.32,4.62,4.5,4.42,4.64,4.46,1,90,1.22
within an hour,t,t,Entire rental unit,Entire home/apt,t,1,1,5,2576.42,4.83,4.94,4.91,4.98,4.93,4.81,4.87,2,4,0.43
within a few hours,t,t,Entire rental unit,Entire home/apt,f,1,0.72,3,5399.24,4.66,4.74,4.86,4.86,4.86,4.45,4.78,1,1125,3.08
within an hour,t,t,Entire serviced apartment,Entire home/apt,t,1,1,6,3689.84,4.71,4.5,4.71,4.64,4.64,4.93,4.43,1,365,0.09
within an hour,t,t,Entire condo,Entire home/apt,f,1,0.95,3,1324.4,4.58,4.78,4.55,4.74,4.72,4.8,4.65,1,1125,1.92
within a day,f,t,Entire rental unit,Entire home/apt,f,1,1,3,2276.89,4.76,4.84,4.79,4.84,4.84,4.9,4.79,2,365,2.13
within an hour,t,t,Entire rental unit,Entire home/apt,t,1,1,4,2688.07,4.9,4.92,4.9,4.94,4.96,4.98,4.85,1,365,4.94
within an hour,f,t,Private room in rental unit,Private room,t,1,1,3,733.81,4.42,4.66,4.5,4.8,4.81,4.91,4.57,2,1125,4.94
within an hour,t,t,Entire rental unit,Entire home/apt,t,1,1,4,1730.19,4.91,4.92,4.85,4.95,4.97,4.9,4.87,3,1124,1.82
within an hour,f,t,Entire rental unit,Entire home/apt,t,1,1,7,1175.79,4.54,4.66,4.62,4.7,4.8,4.52,4.65,1,365,1.1
within an hour,f,t,Entire rental unit,Entire home/apt,t,1,1,3,853.16,4.52,4.7,4.46,4.67,4.73,4.71,4.59,2,365,2.54
within an hour,f,t,Entire rental unit,Entire home/apt,t,1,1,4,903.21,4.57,4.7,4.59,4.7,4.82,4.76,4.67,2,365,1.98
within an hour,Desconocido,t,Entire rental unit,Entire home/apt,f,1,1,4,816.2,4.76,4.83,4.83,4.9,4.93,4.58,4.81,1,90,5.55
within an hour,f,t,Entire rental unit,Entire home/apt,t,1,1,3,822.36,4.43,4.55,4.52,4.79,4.77,4.43,4.51,2,365,1.34
