host_response_time,host_is_superhost,host_identity_verified,property_type,room_type,instant_bookable,host_response_rate,host_acceptance_rate,capacity,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,minimum_nights,maximum_nights,reviews_per_month
Desconocido,f,t,Entire home,Entire home/apt,f,0.9,0.9,10,5989.13,5,5,5,5,5,5,5,28,730,0.7
within an hour,t,t,Private room in condo,Private room,t,1,1,1,1264.23,4.84,4.72,4.71,4.97,4.96,4.53,4.78,28,1125,0.86
a few days or more,f,f,Private room in rental unit,Private room,f,0,0.9,2,1289.77,4.84,4.81,4.89,4.87,4.9,4.92,4.83,28,365,0.99
within an hour,t,t,Entire home,Entire home/apt,f,1,1,5,1787.8,4.76,4.65,4.71,4.97,4.95,4.67,4.72,28,1125,0.5
Desconocido,f,f,Private room in rental unit,Private room,f,0.9,0.9,1,1787.8,4.7,4.8,4.7,4.8,4.9,4.8,4.7,28,365,0.7
within a few hours,f,t,Entire condo,Entire home/apt,f,1,0.21,4,2311.37,4.78,4.78,4.78,4.63,4.75,4.85,4.65,28,1125,0.27
within a day,f,t,Entire home,Entire home/apt,f,0.9,0.7,7,4086.4,4.56,4.53,4.53,4.91,4.94,5,4.56,28,1125,0.43
Desconocido,f,t,Entire rental unit,Entire home/apt,f,0.9,1,1,574.65,4.92,5,4.83,5,5,4.83,4.83,28,365,0.7
a few days or more,f,f,Entire rental unit,Entire home/apt,f,0,0.9,2,1711.18,5,4.8,4.7,4.8,4.9,4.8,4.7,28,365,0.7
Desconocido,f,t,Entire loft,Entire home/apt,f,0.9,0.9,2,4609.97,4.89,5,4.78,4.78,4.89,4.56,4.44,28,112,0.7
within an hour,t,t,Private room in home,Private room,f,1,0.89,2,1711.18,4.87,4.89,4.91,4.92,4.89,4.9,4.74,28,27,0.95
within an hour,t,t,Entire home,Entire home/apt,f,1,1,5,1915.5,4.64,4.65,4.67,4.95,4.96,4.58,4.69,31,365,0.73
within a few hours,f,t,Entire rental unit,Entire home/apt,f,1,1,1,1149.3,4.6,4.8,4,4.8,4.4,4.8,4.4,28,90,0.7
within an hour,Desconocido,t,Private room in rental unit,Private room,f,1,0.93,1,702.35,4.33,4,4,4.33,4.67,4.33,4.67,28,1125,0.7
within a day,f,t,Entire condo,Entire home/apt,f,0.9,0.43,4,1979.35,4.7,4.8,4.7,4.8,4.9,4.8,4.7,28,365,0.7
within an hour,t,t,Entire home,Entire home/apt,f,1,1,4,2426.3,4.95,4.95,4.98,4.98,4.97,4.84,4.89,28,31,0.8
Desconocido,f,t,Private room in townhouse,Private room,f,0.9,0.9,2,766.2,4.83,4.89,4.62,4.95,4.96,4.76,4.88,28,1125,0.7
within a few hours,f,t,Entire rental unit,Entire home/apt,f,1,0.72,2,1787.8,4.17,4.51,4.02,4.78,4.83,4.95,4.22,28,365,0.42
within a few hours,f,t,Private room in rental unit,Private room,f,1,0.72,2,1277,4.8,4.8,4.4,4.8,4.8,4.8,4.6,28,1000,0.7
within a few hours,f,t,Private room in rental unit,Private room,f,1,0.72,2,1213.15,4,4.5,4,4.38,4.75,4.75,4.13,30,1000,0.7
within a few hours,f,t,Entire condo,Entire home/apt,f,1,0.72,3,1864.42,4.14,4.51,3.93,4.63,4.68,4.91,4.19,28,1100,0.54
within a few hours,f,t,Private room in rental unit,Private room,f,1,0.72,2,1149.3,4.39,4.26,3.89,4.47,4.79,4.84,4.21,28,1125,0.7
within an hour,f,t,Private room in home,Private room,f,1,0.87,1,383.1,4.21,4.59,3.95,4.69,4.51,4.38,4.41,28,1125,0.33
within a few hours,f,t,Entire condo,Entire home/apt,f,1,0.72,3,1915.5,4.61,4.79,4.41,4.79,4.85,4.93,4.51,28,1100,0.37
Desconocido,f,t,Private room in condo,Private room,f,0.9,0.9,2,702.35,4.88,4.96,5,4.88,5,4.92,4.83,28,125,0.28
